page_number,frontend_id,title,titleSlug,difficulty,is_premium,topic_tags,num_tags,similar_questions,no_similar_questions,acceptance,accepted,submission,acceptance_rate,discussion_count,likes,dislikes,like_ratio,likebility,is_popular,problem_URL,solution_URL,internal_id,description,last_updated
14,668,Kth Smallest Number in Multiplication Table,kth-smallest-number-in-multiplication-table,Hard,False,"['Math', 'Binary Search']",25.0,"['[""[\'Kth Smallest Element in a Sorted Matrix\'""', '""\'Find K-th Smallest Pair Distance\'""', '""\'K-th Smallest Prime Fraction\'""', '""\'Minimum Time to Eat All Grains\'""', '""\'Kth Smallest Amount With Single Denomination Combination\']""]']",5,53.374270183209184,79533,149010,53.37,21,2246,61,0.97,97.0,True,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table/,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table/solution/,,,
14,669,Trim a Binary Search Tree,trim-a-binary-search-tree,Medium,False,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']",67.0,"[""['[]']""]",1,66.44944967706675,333139,501342,66.45,44,6049,264,0.96,96.0,True,https://leetcode.com/problems/trim-a-binary-search-tree/,https://leetcode.com/problems/trim-a-binary-search-tree/solution/,,,
14,670,Maximum Swap,maximum-swap,Medium,False,"['Math', 'Greedy']",18.0,"['[""[\'Create Maximum Number\']""]']",1,51.88889051152758,497432,958645,51.89,241,4249,273,0.94,94.0,True,https://leetcode.com/problems/maximum-swap/,https://leetcode.com/problems/maximum-swap/solution/,,,
14,671,Second Minimum Node In a Binary Tree,second-minimum-node-in-a-binary-tree,Easy,False,"['Tree', 'Depth-First Search', 'Binary Tree']",45.0,"['[""[\'Kth Smallest Element in a BST\']""]']",1,45.65973044205609,231451,506904,45.66,52,1972,1902,0.51,51.0,True,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree/,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree/solution/,,,
14,672,Bulb Switcher II,bulb-switcher-ii,Medium,False,"['Math', 'Bit Manipulation', 'Depth-First Search', 'Breadth-First Search']",74.0,"['[""[\'Bulb Switcher\'""', '""\'Number of Times Binary String Is Prefix-Aligned\']""]']",2,49.80259348295285,28382,56989,49.8,15,191,243,0.44,44.0,False,https://leetcode.com/problems/bulb-switcher-ii/,https://leetcode.com/problems/bulb-switcher-ii/solution/,,,
14,673,Number of Longest Increasing Subsequence,number-of-longest-increasing-subsequence,Medium,False,"['Array', 'Dynamic Programming', 'Binary Indexed Tree', 'Segment Tree']",71.0,"['[""[\'Longest Increasing Subsequence\'""', '""\'Longest Continuous Increasing Subsequence\'""', '""\'Longest Increasing Subsequence II\']""]']",3,50.77687801459777,310132,610776,50.78,71,7194,283,0.96,96.0,True,https://leetcode.com/problems/number-of-longest-increasing-subsequence/,https://leetcode.com/problems/number-of-longest-increasing-subsequence/solution/,,,
14,674,Longest Continuous Increasing Subsequence,longest-continuous-increasing-subsequence,Easy,False,['Array'],9.0,"['[""[\'Number of Longest Increasing Subsequence\'""', '""\'Minimum Window Subsequence\'""', '""\'Consecutive Characters\'""', '""\'Longest Increasing Subsequence II\']""]']",4,51.490743666284686,327561,636157,51.49,27,2435,195,0.93,93.0,True,https://leetcode.com/problems/longest-continuous-increasing-subsequence/,https://leetcode.com/problems/longest-continuous-increasing-subsequence/solution/,,,
14,675,Cut Off Trees for Golf Event,cut-off-trees-for-golf-event,Hard,False,"['Array', 'Breadth-First Search', 'Heap (Priority Queue)', 'Matrix']",68.0,"[""['[]']""]",1,35.77883916976647,81277,227165,35.78,47,1278,688,0.65,65.0,True,https://leetcode.com/problems/cut-off-trees-for-golf-event/,https://leetcode.com/problems/cut-off-trees-for-golf-event/solution/,,,
14,676,Implement Magic Dictionary,implement-magic-dictionary,Medium,False,"['Hash Table', 'String', 'Depth-First Search', 'Design', 'Trie']",64.0,"['[""[\'Implement Trie (Prefix Tree)\'""', '""\'Longest Word in Dictionary\']""]']",2,57.13873699268592,99058,173364,57.14,17,1448,213,0.87,87.0,True,https://leetcode.com/problems/implement-magic-dictionary/,https://leetcode.com/problems/implement-magic-dictionary/solution/,,,
14,677,Map Sum Pairs,map-sum-pairs,Medium,False,"['Hash Table', 'String', 'Design', 'Trie']",42.0,"['[""[\'Sort the Jumbled Numbers\'""', '""\'Sum of Prefix Scores of Strings\']""]']",2,56.96229126572598,135560,237982,56.96,20,1718,164,0.91,91.0,True,https://leetcode.com/problems/map-sum-pairs/,https://leetcode.com/problems/map-sum-pairs/solution/,,,
